,U,delta_0,delta_1,delta_2
0,0.1,0.0,0.0,0.0
1,0.7555555555555555,0.0,0.0,0.0
2,1.4111111111111112,0.06465066536040369,0.016640467494838267,0.07022110651564115
3,2.066666666666667,0.24123980141860096,0.12452546257394281,0.30219725478159265
4,2.7222222222222223,0.574018461806757,0.5001874173684402,0.7729658310347207
5,3.3777777777777778,0.932770557851959,0.9611405848961146,1.2155075076382214
6,4.033333333333333,1.291541997083313,1.3720823288092796,1.6081619638604345
7,4.688888888888888,1.656470307820658,1.7597350941644474,1.9814664314641566
8,5.344444444444444,2.023942054544981,2.1355524769019523,2.34484849177565
9,6.0,2.391008288239414,2.5037804358184435,2.701865920421472
